ID,CHURNRISK,GENDER,STATUS,CHILDREN,ESTINCOME,HOMEOWNER,AGE,TOTALDOLLARVALUETRADED,TOTALUNITSTRADED,LARGESTSINGLETRANSACTION,SMALLESTSINGLETRANSACTION,PERCENTCHANGECALCULATION,DAYSSINCELASTLOGIN,DAYSSINCELASTTRADE,NETREALIZEDGAINS_YTD
233,High,F,S,2,30090.0,N,24,37003.7,38,18501.85,1850.185,9.5,1,9,0.0
234,High,F,S,1,40120.0,N,24,28452.85,106,14226.425,1422.6425,26.5,5,7,0.0
235,Low,F,M,2,90271.6,N,45,13961.4,96,6980.7,698.07,24.0,4,7,698.07
236,High,F,M,2,64816.6,Y,31,21002.1,6,10501.05,1050.105,1.5,5,10,0.0
237,Low,F,M,2,98217.1,N,45,29492.95,13,14746.475,1474.6475,3.25,1,10,1474.6475
238,Low,F,S,1,2929.13,N,54,14001.4,88,7000.7,700.07,22.0,2,9,700.07
239,High,F,M,2,41876.6,Y,44,6780.68,132,1695.17,169.517,19.8,1,16,0.0
240,Low,M,M,0,96223.4,Y,65,11811.18,5,5905.59,590.559,1.25,5,9,590.559
241,Medium,F,S,0,15989.3,N,62,3670.37,25,917.5925,91.75925,3.75,5,14,0.0
242,High,M,M,0,69168.4,Y,62,14161.42,214,7080.71,708.071,53.5,3,8,0.0
243,Medium,M,M,1,92148.5,Y,33,3000.3,100,750.075,75.0075,15.0,3,15,0.0
244,High,M,M,0,96681.0,Y,20,7000.7,40,1750.175,175.0175,6.0,4,18,0.0
245,Medium,M,S,0,62705.9,Y,32,8000.8,6,2000.2,200.02,0.9,2,13,0.0
246,High,M,S,0,80221.2,N,29,9000.9,49,2250.225,225.0225,7.35,3,15,0.0
247,Medium,M,S,0,84479.2,N,30,7000.7,43,1750.175,175.0175,6.45,2,12,0.0
248,Low,F,M,2,64977.4,N,38,28112.81,17,14056.405,1405.6405,4.25,5,6,1405.6405
249,High,F,M,0,77994.0,N,51,12401.24,89,6200.62,620.062,22.25,3,8,0.0
250,Medium,M,M,2,90103.7,N,35,12231.22,45,6115.61,611.561,11.25,5,10,0.0
251,Low,F,M,0,59008.4,Y,30,12861.29,18,6430.645,643.0645,4.5,3,5,643.0645
252,High,M,M,2,5265.35,N,53,2330.23,23,582.5575,58.25575,3.45,1,17,0.0
253,High,M,S,1,84978.1,N,22,5030.5,76,1257.625,125.7625,11.4,5,15,0.0
254,Low,F,M,2,36647.9,N,50,21412.14,85,10706.07,1070.607,21.25,5,9,1070.607
255,Medium,F,S,0,64319.2,N,41,3010.3,37,752.575,75.2575,5.55,1,13,0.0
256,Low,F,S,1,73338.0,N,48,20922.09,9,10461.045,1046.1045,2.25,3,10,1046.1045
257,High,F,S,0,433.74,N,61,3300.33,40,825.0825,82.50825,6.0,3,17,0.0
258,Low,F,M,2,16962.2,N,45,18601.86,8,9300.93,930.093,2.0,2,5,930.093
259,High,M,M,2,10708.3,N,26,20832.08,117,10416.04,1041.604,29.25,1,10,0.0
260,Low,F,M,0,2031.61,N,20,21642.16,87,10821.08,1082.108,21.75,4,8,1082.108
261,High,F,S,2,16938.5,N,55,13351.34,8,6675.67,667.567,2.0,1,7,0.0
262,High,F,M,0,55221.0,N,42,490.05,15,122.5125,12.25125,2.25,4,18,0.0
263,High,F,M,1,8073.11,N,43,28702.87,60,14351.435,1435.1435,15.0,3,6,0.0
264,Low,M,M,1,95448.6,Y,54,24242.42,5,12121.21,1212.121,1.25,5,9,1212.121
265,High,M,S,1,24141.5,Y,17,28822.88,97,14411.44,1441.144,24.25,3,8,0.0
266,High,M,S,2,63152.6,Y,63,29932.99,40,14966.495,1496.6495,10.0,1,6,0.0
267,Low,M,S,2,72084.7,N,56,29112.91,9,14556.455,1455.6455,2.25,4,8,1455.6455
268,Low,F,S,0,42760.5,N,46,13471.35,40,6735.675,673.5675,10.0,3,5,673.5675
269,High,F,S,1,49072.0,N,47,23502.35,10,11751.175,1175.1175,2.5,2,5,0.0
270,High,F,M,0,27371.8,Y,48,16141.61,126,8070.805,807.0805,31.5,1,8,0.0
271,High,M,M,1,71472.9,N,42,16021.6,114,8010.8,801.08,28.5,1,8,0.0
272,High,F,M,0,95405.7,N,42,7740.77,6,1935.1925,193.51925,0.9,2,15,0.0
273,Low,F,S,0,95786.8,Y,43,21332.13,87,10666.065,1066.6065,21.75,2,10,1066.6065
274,High,M,S,0,90321.6,N,30,870.09,11,217.5225,21.75225,1.65,4,17,0.0
275,High,M,S,0,90478.6,N,55,18021.8,136,9010.9,901.09,34.0,2,10,0.0
276,Medium,F,M,2,56187.0,N,42,8090.81,13,2022.7025,202.27025,1.95,2,12,0.0
277,Medium,F,S,1,37000.0,N,24,23562.36,206,11781.18,1178.118,51.5,5,7,0.0
278,Low,M,M,2,29616.0,N,49,29782.98,45,14891.49,1489.149,11.25,1,10,1489.149
279,High,M,M,0,19732.8,N,51,24812.48,22,12406.24,1240.624,5.5,5,8,0.0
280,High,M,S,2,96.33,N,56,26132.61,32,13066.305,1306.6305,8.0,4,8,0.0
281,Medium,F,M,2,52004.8,N,25,5030.5,23,1257.625,125.7625,3.45,1,11,0.0
282,Low,M,M,2,53010.8,N,19,12451.25,46,6225.625,622.5625,11.5,2,8,622.5625
283,Low,M,M,0,75004.5,N,65,26522.65,32,13261.325,1326.1325,8.0,3,8,1326.1325
284,Low,M,M,0,19749.3,N,60,20222.02,13,10111.01,1011.101,3.25,4,5,1011.101
285,High,M,S,1,57626.9,Y,44,9380.94,38,2345.235,234.5235,5.7,4,18,0.0
286,Medium,M,M,2,20078.0,N,33,9650.97,6,2412.7425,241.27425,0.9,2,10,0.0
287,Low,F,M,2,47902.0,N,26,17441.74,49,8720.87,872.087,12.25,4,7,872.087
288,Low,M,M,1,7545.96,Y,17,22392.24,178,11196.12,1119.612,44.5,3,8,1119.612
289,Medium,F,S,0,78851.3,N,48,370.04,28,92.51,9.251,4.2,1,14,0.0
290,Low,F,S,1,17540.7,Y,63,22172.22,13,11086.11,1108.611,3.25,2,10,1108.611
291,High,F,M,0,83891.9,Y,61,28922.89,45,14461.445,1446.1445,11.25,2,8,0.0
292,High,F,M,2,28220.8,N,39,26492.65,12,13246.325,1324.6325,3.0,1,9,0.0
293,High,F,S,0,28589.1,N,16,13191.32,87,6595.66,659.566,21.75,2,7,0.0
294,Low,F,M,2,5237.63,N,49,13321.33,56,6660.665,666.0665,14.0,4,5,666.0665
295,Low,M,S,2,89459.9,N,53,11541.15,22,5770.575,577.0575,5.5,3,10,577.0575
296,High,F,S,1,13576.5,N,39,14831.48,25,7415.74,741.574,6.25,1,5,0.0
297,Low,F,S,0,81710.9,N,59,20952.1,15,10476.05,1047.605,3.75,2,8,1047.605
298,Medium,F,M,2,67388.0,N,53,4790.48,91,1197.62,119.762,13.65,3,10,0.0
299,High,F,M,1,57063.0,Y,52,16791.68,81,8395.84,839.584,20.25,5,5,0.0
300,High,F,M,2,84166.1,N,54,3280.33,11,820.0825,82.00825,1.65,1,17,0.0
301,Low,F,S,1,7737.94,N,43,11051.11,50,5525.555,552.5555,12.5,2,10,552.5555
302,Low,M,S,2,100020.0,N,48,21372.14,293,10686.07,1068.607,73.25,5,9,1068.607
303,High,F,M,2,45287.6,Y,29,0.0,0,0.0,0.0,0.0,0,0,0.0
304,High,F,M,2,59613.1,N,34,12371.24,163,6185.62,618.562,40.75,3,8,0.0
305,High,F,S,1,16326.7,N,51,0.0,0,0.0,0.0,0.0,0,0,0.0
306,Low,F,S,2,9559.78,N,51,18311.83,59,9155.915,915.5915,14.75,1,5,915.5915
307,Low,F,M,2,42031.8,N,51,20452.05,39,10226.025,1022.6025,9.75,1,6,1022.6025
308,High,F,M,2,83284.1,Y,28,26912.69,9,13456.345,1345.6345,2.25,2,7,0.0
477,High,M,M,0,12387.6,N,56,2000.2,65,500.05,50.005,9.75,4,15,0.0
478,High,F,M,1,82931.3,N,65,19241.92,118,9620.96,962.096,29.5,5,8,0.0
479,Low,F,M,2,57483.9,N,44,17011.7,27,8505.85,850.585,6.75,2,6,850.585
480,High,F,S,2,21274.0,N,46,10871.09,32,5435.545,543.5545,8.0,1,9,0.0
481,Low,F,M,2,28267.0,N,30,21872.19,192,10936.095,1093.6095,48.0,1,7,1093.6095
482,Medium,F,M,2,36725.1,N,56,8650.87,77,2162.7175,216.27175,11.55,4,12,0.0
483,High,M,S,1,94188.3,N,58,20862.09,19,10431.045,1043.1045,4.75,2,7,0.0
484,High,F,M,2,91861.0,Y,42,15321.53,6,7660.765,766.0765,1.5,5,5,0.0
485,Low,F,S,1,12374.9,Y,33,17491.75,106,8745.875,874.5875,26.5,5,10,874.5875
486,High,F,M,2,69133.9,Y,27,8580.86,37,2145.215,214.5215,5.55,4,16,0.0
487,High,F,M,2,84948.0,Y,29,11141.11,12,5570.555,557.0555,3.0,5,7,0.0
488,High,F,M,2,30998.8,N,41,2400.24,50,600.06,60.006,7.5,4,17,0.0
489,High,M,D,1,21416.5,N,36,9900.99,8,2475.2475,247.52475,1.2,4,16,0.0
490,High,M,S,1,78554.2,N,17,5590.56,23,1397.64,139.764,3.45,2,20,0.0
491,Medium,M,S,1,3960.5,N,15,29782.98,66,14891.49,1489.149,16.5,3,6,0.0
492,High,M,M,0,60101.1,Y,64,27702.77,124,13851.385,1385.1385,31.0,3,9,0.0
493,High,F,M,2,38215.9,N,31,0.0,0,0.0,0.0,0.0,0,0,0.0
494,High,F,M,1,13829.4,N,20,29002.9,160,14501.45,1450.145,40.0,1,6,0.0
495,Medium,F,M,2,49745.3,N,48,2840.28,24,710.07,71.007,3.6,2,14,0.0
496,High,F,M,2,88427.0,N,14,22462.25,43,11231.125,1123.1125,10.75,3,10,0.0
497,Medium,F,M,2,98003.7,Y,26,1030.1,83,257.525,25.7525,12.45,4,14,0.0
498,Medium,M,S,0,89142.7,N,54,3760.38,5,940.095,94.0095,0.75,2,13,0.0
499,High,F,S,0,74530.8,N,63,20892.09,106,10446.045,1044.6045,26.5,2,6,0.0
500,Low,F,S,0,40120.0,N,22,30003.0,262,15001.5,1500.15,65.5,1,5,1500.15
501,High,F,M,2,76289.2,N,48,22202.22,82,11101.11,1110.111,20.5,3,8,0.0
502,Low,M,M,1,66931.9,N,64,11721.17,5,5860.585,586.0585,1.25,5,10,586.0585
503,High,F,D,0,40120.0,Y,21,40004.0,99,20002.0,2000.2,24.75,4,5,0.0
504,High,F,M,1,40120.0,N,22,26002.6,26,13001.3,1300.13,6.5,4,7,0.0
505,Low,F,S,0,40120.0,N,24,27002.7,154,13501.35,1350.135,38.5,2,7,1350.135
506,Medium,F,S,0,40120.0,N,24,26002.6,61,13001.3,1300.13,15.25,2,9,1300.13
507,Low,F,S,2,42000.0,N,23,33003.3,35,16501.65,1650.165,8.75,5,7,1650.165
508,High,F,S,0,40120.0,N,20,33003.3,9,16501.65,1650.165,2.25,3,6,0.0
509,High,F,S,2,40120.0,N,22,37003.7,38,18501.85,1850.185,9.5,4,8,0.0
510,Low,F,S,1,40120.0,N,21,28452.85,106,14226.425,1422.6425,26.5,4,6,1422.6425
511,Low,F,M,2,90271.6,N,45,13961.4,96,6980.7,698.07,24.0,4,7,698.07
512,Medium,F,M,2,64816.6,Y,31,21002.1,6,10501.05,1050.105,1.5,4,10,0.0
513,Low,F,M,2,98217.1,N,45,29492.95,13,14746.475,1474.6475,3.25,1,8,1474.6475
514,High,F,S,1,2929.13,N,54,14001.4,88,7000.7,700.07,22.0,5,7,0.0
515,Medium,F,M,2,41876.6,Y,44,6780.68,132,1695.17,169.517,19.8,5,13,0.0
516,High,M,M,0,96223.4,Y,65,11811.18,5,5905.59,590.559,1.25,4,9,0.0
517,High,F,S,0,15989.3,N,62,3670.37,25,917.5925,91.75925,3.75,1,19,0.0
518,Low,M,M,0,69168.4,Y,62,14161.42,214,7080.71,708.071,53.5,1,9,708.071
519,Medium,M,M,1,92148.5,Y,38,2000.2,100,500.05,50.005,15.0,5,12,0.0
520,Medium,M,M,0,96681.0,Y,20,2000.2,40,500.05,50.005,6.0,2,13,0.0
521,High,M,S,0,62705.9,Y,39,2000.2,6,500.05,50.005,0.9,2,20,0.0
522,High,M,S,0,80221.2,N,29,2000.2,49,500.05,50.005,7.35,1,15,0.0
523,High,M,S,0,84479.2,N,28,2000.2,43,500.05,50.005,6.45,4,16,0.0
524,High,F,M,2,64977.4,N,38,28112.81,17,14056.405,1405.6405,4.25,3,9,0.0
525,Low,F,M,0,77994.0,N,51,12401.24,89,6200.62,620.062,22.25,4,9,620.062
526,High,M,M,2,90103.7,N,35,12231.22,45,6115.61,611.561,11.25,1,6,0.0
527,Low,F,M,0,59008.4,Y,30,12861.29,18,6430.645,643.0645,4.5,4,10,643.0645
528,Medium,M,M,2,5265.35,N,53,2330.23,23,582.5575,58.25575,3.45,3,11,0.0
529,High,M,S,1,84978.1,N,22,5030.5,76,1257.625,125.7625,11.4,5,16,0.0
530,High,F,M,2,36647.9,N,50,21412.14,85,10706.07,1070.607,21.25,4,6,0.0
531,Medium,F,S,0,64319.2,N,41,3010.3,37,752.575,75.2575,5.55,5,13,0.0
532,High,F,S,1,73338.0,N,48,20922.09,9,10461.045,1046.1045,2.25,4,8,0.0
533,High,F,S,0,433.74,N,61,3300.33,40,825.0825,82.50825,6.0,1,16,0.0
534,Low,F,M,2,16962.2,N,45,18601.86,8,9300.93,930.093,2.0,2,9,930.093
535,High,M,M,2,10708.3,N,26,20832.08,117,10416.04,1041.604,29.25,2,7,0.0
536,Medium,F,M,0,2031.61,N,20,21642.16,87,10821.08,1082.108,21.75,3,5,1082.108
537,Low,F,S,2,16938.5,N,52,13351.34,8,6675.67,667.567,2.0,3,5,667.567
538,Medium,F,M,0,55221.0,N,43,490.05,15,122.5125,12.25125,2.25,1,14,0.0
539,High,F,M,1,8073.11,N,46,28702.87,60,14351.435,1435.1435,15.0,1,10,0.0
540,Low,M,M,0,95448.6,Y,54,24242.42,5,12121.21,1212.121,1.25,2,9,1212.121
541,Low,M,S,1,24141.5,Y,17,28822.88,97,14411.44,1441.144,24.25,2,10,1441.144
542,High,M,S,2,63152.6,Y,63,29932.99,40,14966.495,1496.6495,10.0,2,6,0.0
543,High,M,S,1,31952.0,N,34,0.0,0,0.0,0.0,0.0,0,0,0.0
544,Low,M,S,2,72084.7,N,56,29112.91,9,14556.455,1455.6455,2.25,5,5,1455.6455
545,Medium,F,S,0,42760.5,N,47,13471.35,40,6735.675,673.5675,10.0,2,9,0.0
546,Low,F,S,1,49072.0,N,48,23502.35,10,11751.175,1175.1175,2.5,3,9,1175.1175
547,Low,F,M,0,27371.8,Y,53,16141.61,126,8070.805,807.0805,31.5,5,5,807.0805
548,High,M,M,1,71472.9,N,42,16021.6,114,8010.8,801.08,28.5,5,8,0.0
549,High,F,M,0,95405.7,N,48,7740.77,6,1935.1925,193.51925,0.9,5,20,0.0
550,Low,F,S,0,95786.8,Y,53,21332.13,87,10666.065,1066.6065,21.75,3,10,1066.6065
551,Medium,M,S,0,90321.6,N,55,870.09,11,217.5225,21.75225,1.65,5,13,0.0
552,High,M,D,1,90478.6,N,55,18021.8,136,9010.9,901.09,34.0,4,9,0.0
553,High,F,M,2,56187.0,N,43,8090.81,13,2022.7025,202.27025,1.95,5,18,0.0
554,Medium,M,M,1,28313.1,N,21,6890.69,6,1722.6725,172.26725,0.9,1,12,0.0
555,Low,F,S,1,41000.0,N,24,23562.36,206,11781.18,1178.118,51.5,5,7,1178.118
556,High,M,M,2,29616.0,N,49,29782.98,45,14891.49,1489.149,11.25,4,8,0.0
557,Low,M,M,0,19732.8,N,51,24812.48,22,12406.24,1240.624,5.5,1,10,1240.624
558,High,M,S,2,96.33,N,56,26132.61,32,13066.305,1306.6305,8.0,4,6,0.0
559,High,F,M,2,52004.8,N,25,5030.5,23,1257.625,125.7625,3.45,2,20,0.0
560,High,M,M,2,53010.8,N,19,12451.25,46,6225.625,622.5625,11.5,5,10,0.0
561,Low,M,M,0,75004.5,N,65,26522.65,32,13261.325,1326.1325,8.0,3,9,1326.1325
562,Low,M,M,0,19749.3,N,60,20222.02,13,10111.01,1011.101,3.25,1,6,1011.101
563,High,M,S,1,57626.9,Y,44,9380.94,38,2345.235,234.5235,5.7,5,18,0.0
564,Medium,M,M,2,20078.0,N,33,9650.97,6,2412.7425,241.27425,0.9,1,14,0.0
565,Low,F,M,2,47902.0,N,26,17441.74,49,8720.87,872.087,12.25,2,6,872.087
566,Low,M,M,1,7545.96,Y,17,22392.24,178,11196.12,1119.612,44.5,3,5,1119.612
567,Medium,F,S,0,78851.3,N,48,370.04,28,92.51,9.251,4.2,3,10,0.0
568,High,F,S,1,17540.7,Y,63,22172.22,13,11086.11,1108.611,3.25,3,9,0.0
569,Low,F,M,0,83891.9,Y,61,28922.89,45,14461.445,1446.1445,11.25,3,8,1446.1445
570,Low,F,M,2,28220.8,N,39,26492.65,12,13246.325,1324.6325,3.0,4,8,1324.6325
571,High,F,S,0,28589.1,N,16,13191.32,87,6595.66,659.566,21.75,4,10,0.0
572,Low,F,M,2,5237.63,N,49,13321.33,56,6660.665,666.0665,14.0,2,8,666.0665
573,High,M,S,2,89459.9,N,53,11541.15,22,5770.575,577.0575,5.5,1,10,0.0
574,High,F,S,1,13576.5,N,39,14831.48,25,7415.74,741.574,6.25,4,10,0.0
575,Low,F,S,0,81710.9,N,59,20952.1,15,10476.05,1047.605,3.75,4,8,1047.605
576,High,F,M,2,67388.0,N,53,4790.48,91,1197.62,119.762,13.65,4,20,0.0
577,Low,F,M,1,57063.0,Y,52,16791.68,81,8395.84,839.584,20.25,2,7,839.584
578,High,F,M,2,84166.1,N,54,3280.33,11,820.0825,82.00825,1.65,1,16,0.0
579,Low,F,S,0,45612.9,N,14,12531.25,311,6265.625,626.5625,77.75,2,9,626.5625
762,High,F,S,0,919.93,N,38,27282.73,93,13641.365,1364.1365,23.25,1,10,0.0
763,High,F,M,2,69486.8,N,31,7720.77,9,1930.1925,193.01925,1.35,2,15,0.0
764,High,F,M,2,24482.8,N,34,0.0,0,0.0,0.0,0.0,0,0,0.0
765,Low,F,M,0,14573.6,N,65,26612.66,236,13306.33,1330.633,59.0,3,8,1330.633
766,Medium,F,M,2,92103.8,N,52,7420.74,7,1855.185,185.5185,1.05,4,11,0.0
767,Low,F,S,2,8392.14,Y,37,25032.5,54,12516.25,1251.625,13.5,5,8,1251.625
768,High,F,S,0,17138.2,N,64,20012.0,84,10006.0,1000.6,21.0,4,6,0.0
769,High,F,M,2,47010.1,N,57,2540.25,164,635.0625,63.50625,24.6,1,20,0.0
770,High,F,D,1,67239.4,N,44,12891.29,53,6445.645,644.5645,13.25,5,5,0.0
771,Medium,M,M,1,69406.7,Y,47,6900.69,128,1725.1725,172.51725,19.2,5,13,0.0
772,High,F,M,2,83259.3,N,51,0.0,0,0.0,0.0,0.0,0,0,0.0
773,High,F,M,2,2185.6,N,53,7120.71,20,1780.1775,178.01775,3.0,2,17,0.0
774,High,M,M,1,76511.3,N,62,21682.17,17,10841.085,1084.1085,4.25,1,5,0.0
775,Low,F,M,1,35000.0,N,22,27002.7,8,13501.35,1350.135,2.0,3,7,1350.135
776,Medium,F,M,2,11234.7,Y,49,690.07,112,172.5175,17.25175,16.8,1,13,0.0
777,High,F,M,2,36660.9,Y,40,0.0,0,0.0,0.0,0.0,0,0,0.0
778,High,F,M,2,68462.8,N,34,24392.44,60,12196.22,1219.622,15.0,3,8,0.0
779,High,F,M,2,72841.3,N,47,10361.04,72,5180.52,518.052,18.0,4,10,0.0
780,Low,F,M,2,63670.8,Y,46,27392.74,51,13696.37,1369.637,12.75,3,8,1369.637
781,Low,M,S,0,66666.0,N,77,29732.97,35,14866.485,1486.6485,8.75,4,8,1486.6485
782,High,F,S,1,77000.0,Y,45,20442.04,100,10221.02,1022.102,25.0,2,10,0.0
783,High,M,M,0,12387.6,N,56,2000.2,65,500.05,50.005,9.75,4,20,0.0
784,Low,F,M,1,82931.3,N,65,19241.92,118,9620.96,962.096,29.5,3,10,962.096
785,Medium,F,M,2,57483.9,N,44,17011.7,27,8505.85,850.585,6.75,5,5,0.0
786,Low,F,S,2,21274.0,N,46,10871.09,32,5435.545,543.5545,8.0,2,5,543.5545
787,High,F,M,2,28267.0,N,30,21872.19,192,10936.095,1093.6095,48.0,4,6,0.0
788,Medium,F,M,2,36725.1,N,56,8650.87,77,2162.7175,216.27175,11.55,5,13,0.0
789,Low,M,S,1,94188.3,N,58,20862.09,19,10431.045,1043.1045,4.75,1,6,1043.1045
790,High,F,M,2,91861.0,Y,42,15321.53,6,7660.765,766.0765,1.5,4,7,0.0
791,Low,F,S,1,12374.9,Y,33,17491.75,106,8745.875,874.5875,26.5,3,10,874.5875
792,High,F,M,2,69133.9,Y,27,8580.86,37,2145.215,214.5215,5.55,4,17,0.0
793,Low,F,M,2,84948.0,Y,29,11141.11,12,5570.555,557.0555,3.0,5,9,557.0555
794,Medium,F,M,2,30998.8,N,41,2400.24,50,600.06,60.006,7.5,1,14,0.0
795,Medium,M,M,2,21416.5,N,36,9900.99,8,2475.2475,247.52475,1.2,4,13,0.0
796,Medium,M,M,2,78554.2,N,17,5590.56,23,1397.64,139.764,3.45,1,14,0.0
797,Low,M,S,1,3960.5,N,15,29782.98,66,14891.49,1489.149,16.5,5,9,1489.149
798,High,M,M,0,60101.1,Y,64,27702.77,124,13851.385,1385.1385,31.0,5,10,0.0
799,High,F,M,2,38215.9,N,31,0.0,0,0.0,0.0,0.0,0,0,0.0
800,Low,F,M,1,40120.0,N,24,30003.0,160,15001.5,1500.15,40.0,1,9,1500.15
801,High,F,M,2,49745.3,N,48,2840.28,24,710.07,71.007,3.6,4,20,0.0
802,High,F,M,2,88427.0,N,14,22462.25,43,11231.125,1123.1125,10.75,5,8,0.0
803,High,F,M,2,98003.7,Y,26,1030.1,83,257.525,25.7525,12.45,1,18,0.0
804,Medium,M,S,0,89142.7,N,54,3760.38,5,940.095,94.0095,0.75,1,20,0.0
805,High,F,S,0,74530.8,N,63,20892.09,106,10446.045,1044.6045,26.5,3,6,0.0
806,High,F,S,0,40120.0,N,24,37003.7,262,18501.85,1850.185,65.5,5,8,0.0
807,Low,F,M,2,76289.2,N,48,22202.22,82,11101.11,1110.111,20.5,2,6,1110.111
808,High,M,M,1,66931.9,N,64,11721.17,5,5860.585,586.0585,1.25,2,7,0.0
809,High,F,S,0,40120.0,Y,23,32003.2,99,16001.6,1600.16,24.75,3,8,0.0
810,Low,F,M,1,14085.5,N,24,39003.9,26,19501.95,1950.195,6.5,3,6,1950.195
811,High,F,S,0,32962.6,N,21,59005.9,154,29502.95,2950.295,38.5,1,9,0.0
812,Low,F,S,0,42000.0,N,22,43004.3,61,21502.15,2150.215,15.25,3,8,2150.215
813,Medium,F,S,2,43000.0,N,20,39003.9,35,19501.95,1950.195,8.75,1,10,0.0
814,High,F,D,1,77726.4,N,57,14001.4,9,7000.7,700.07,2.25,4,7,0.0
815,High,F,S,2,42000.0,N,18,59005.9,38,29502.95,2950.295,9.5,4,7,0.0
816,Low,F,S,1,2800.68,N,46,28452.85,106,14226.425,1422.6425,26.5,4,7,1422.6425
817,Low,F,M,2,90271.6,N,45,13961.4,96,6980.7,698.07,24.0,1,6,698.07
818,High,F,M,2,64816.6,Y,31,21002.1,6,10501.05,1050.105,1.5,3,8,0.0
819,High,F,M,2,98217.1,N,45,29492.95,13,14746.475,1474.6475,3.25,5,10,0.0
820,Low,F,S,1,2929.13,N,54,14001.4,88,7000.7,700.07,22.0,4,8,700.07
677,High,M,M,2,47639.1,N,61,17481.75,39,8740.875,874.0875,9.75,4,6,0.0
678,High,F,M,2,63234.5,Y,52,0.0,0,0.0,0.0,0.0,0,0,0.0
679,High,F,S,2,46945.0,N,65,18961.9,26,9480.95,948.095,6.5,2,6,0.0
680,High,M,M,0,3911.9,N,59,5720.57,25,1430.1425,143.01425,3.75,2,19,0.0
681,Medium,F,M,0,71816.1,Y,60,26572.66,25,13286.33,1328.633,6.25,3,7,1328.633
682,High,F,M,2,18296.4,Y,43,80.01,10,20.0025,2.00025,1.5,2,16,0.0
865,High,F,M,2,52004.8,N,25,5030.5,23,1257.625,125.7625,3.45,3,18,0.0
866,Low,M,M,2,53010.8,N,19,12451.25,46,6225.625,622.5625,11.5,4,8,622.5625
867,High,M,M,1,75004.5,N,65,26522.65,32,13261.325,1326.1325,8.0,2,10,0.0
868,Medium,M,M,0,19749.3,N,60,20222.02,13,10111.01,1011.101,3.25,3,6,0.0
869,Medium,M,S,1,57626.9,Y,44,9380.94,38,2345.235,234.5235,5.7,5,10,0.0
870,High,M,D,0,20078.0,N,33,9650.97,6,2412.7425,241.27425,0.9,5,20,0.0
871,Low,F,M,2,47902.0,N,26,17441.74,49,8720.87,872.087,12.25,2,9,872.087
872,Low,M,M,1,7545.96,Y,17,22392.24,178,11196.12,1119.612,44.5,5,10,1119.612
873,Medium,F,S,0,78851.3,N,48,370.04,28,92.51,9.251,4.2,4,14,0.0
874,High,F,S,1,17540.7,Y,63,22172.22,13,11086.11,1108.611,3.25,3,7,0.0
875,High,F,M,0,83891.9,Y,61,28922.89,45,14461.445,1446.1445,11.25,2,9,0.0
876,High,F,S,2,28220.8,N,39,26492.65,12,13246.325,1324.6325,3.0,1,7,0.0
877,Low,F,S,0,28589.1,N,16,13191.32,87,6595.66,659.566,21.75,4,10,659.566
878,Low,F,M,2,5237.63,N,49,13321.33,56,6660.665,666.0665,14.0,1,7,666.0665
879,High,M,S,2,89459.9,N,53,11541.15,22,5770.575,577.0575,5.5,4,8,0.0
880,Low,F,S,1,13576.5,N,39,14831.48,25,7415.74,741.574,6.25,2,5,741.574
881,High,F,M,2,67388.0,N,53,4790.48,91,1197.62,119.762,13.65,5,18,0.0
882,High,F,M,1,57063.0,Y,52,16791.68,81,8395.84,839.584,20.25,3,8,0.0
883,Medium,F,M,2,84166.1,N,54,3280.33,11,820.0825,82.00825,1.65,3,12,0.0
884,Low,F,S,0,45612.9,N,14,12531.25,311,6265.625,626.5625,77.75,5,9,626.5625
885,High,F,S,1,7737.94,N,43,11051.11,50,5525.555,552.5555,12.5,5,7,0.0
886,Low,M,S,2,65000.0,N,45,21372.14,293,10686.07,1068.607,73.25,1,8,1068.607
887,High,F,M,2,45287.6,Y,29,0.0,0,0.0,0.0,0.0,0,0,0.0
888,High,F,M,2,59613.1,N,34,12371.24,163,6185.62,618.562,40.75,5,7,0.0
889,High,F,S,1,16326.7,N,51,0.0,0,0.0,0.0,0.0,0,0,0.0
890,High,F,S,2,9559.78,N,51,18311.83,59,9155.915,915.5915,14.75,1,9,0.0
891,Low,F,M,2,42031.8,N,51,20452.05,39,10226.025,1022.6025,9.75,5,6,1022.6025
892,High,F,M,2,83284.1,Y,28,26912.69,9,13456.345,1345.6345,2.25,5,9,0.0
893,Low,M,M,1,39229.1,N,26,28822.88,13,14411.44,1441.144,3.25,4,5,1441.144
894,Medium,F,S,0,68427.4,N,42,23762.38,50,11881.19,1188.119,12.5,5,10,0.0
895,Medium,M,S,0,3601.71,N,49,9570.96,111,2392.74,239.274,16.65,5,10,0.0
896,Low,F,S,0,98716.3,N,56,20972.1,13,10486.05,1048.605,3.25,4,6,1048.605
897,Low,F,S,2,66182.7,Y,62,11701.17,47,5850.585,585.0585,11.75,1,8,585.0585
898,Low,F,M,2,84789.3,N,50,14221.42,10,7110.71,711.071,2.5,4,7,711.071
899,High,F,M,2,35976.5,Y,49,18851.89,31,9425.945,942.5945,7.75,3,6,0.0
900,High,F,M,0,32703.1,Y,65,16801.68,56,8400.84,840.084,14.0,5,8,0.0
901,High,F,M,2,8204.72,N,53,15591.56,24,7795.78,779.578,6.0,5,9,0.0
902,High,M,M,1,97180.4,N,33,8210.82,45,2052.705,205.2705,6.75,4,18,0.0
